y,fish,stage,day,plotday
3,10,Baseline,1,1
3,10,Baseline,2,2
0,10,Baseline,3,3
4,10,Baseline,4,4
3,10,Baseline,5,5
4,10,Baseline,6,6
0,10,Baseline,7,7
2,10,Baseline,8,8
1,10,Baseline,9,9
1,10,Baseline,10,10
2,10,Baseline,11,11
5,10,Baseline,12,12
5,10,Baseline,13,13
2,10,Baseline,14,14
4,10,Baseline,15,15
4,10,Baseline,16,16
5,10,Baseline,17,17
6,10,Baseline,18,18
1,10,Baseline,19,19
5,10,Baseline,20,20
5,10,Baseline,21,21
3,10,Baseline,22,22
5,10,Baseline,23,23
4,10,Baseline,24,24
1,10,Rotation,1,25
1,10,Rotation,2,26
2,10,Rotation,3,27
2,10,Rotation,4,28
4,10,Rotation,5,29
2,10,Rotation,6,30
3,10,Rotation,7,31
4,10,Rotation,8,32
2,10,Rotation,9,33
2,10,Rotation,10,34
5,10,Rotation,11,35
2,10,Rotation,12,36
3,10,Rotation,13,37
5,10,Rotation,14,38
5,10,Rotation,15,39
2,10,Washout,1,40
3,10,Washout,2,41
5,10,Washout,3,42
4,10,Washout,4,43
4,10,Washout,5,44
6,10,Washout,6,45
4,10,Washout,7,46
3,10,Washout,8,47
5,10,Washout,9,48
5,10,Washout,10,49
1,10,ReRotation,1,50
0,10,ReRotation,2,51
2,10,ReRotation,3,52
2,10,ReRotation,4,53
3,10,ReRotation,5,54
2,10,ReRotation,6,55
3,10,ReRotation,7,56
2,10,ReRotation,8,57
3,10,ReRotation,9,58
1,10,ReRotation,10,59
3,10,ReRotation,11,60
4,10,ReRotation,12,61
4,10,ReRotation,13,62
4,10,ReRotation,14,63
4,10,ReWashout,1,64
4,10,ReWashout,2,65
3,10,ReWashout,3,66
0,10,ReWashout,4,67
3,10,ReWashout,5,68
4,10,ReWashout,6,69
2,10,ReWashout,7,70
1,10,ReWashout,8,71
1,10,ReWashout,9,72
4,10,ReWashout,10,73
3,12,Baseline,1,1
2,12,Baseline,2,2
5,12,Baseline,3,3
1,12,Baseline,4,4
2,12,Baseline,5,5
1,12,Baseline,6,6
1,12,Baseline,7,7
3,12,Baseline,8,8
4,12,Baseline,9,9
3,12,Baseline,10,10
2,12,Baseline,11,11
4,12,Baseline,12,12
3,12,Baseline,13,13
5,12,Baseline,14,14
4,12,Baseline,15,15
5,12,Baseline,16,16
6,12,Baseline,17,17
2,12,Baseline,18,18
1,12,Baseline,19,19
3,12,Baseline,20,20
4,12,Baseline,21,21
2,12,Baseline,22,22
4,12,Baseline,23,23
4,12,Baseline,24,24
2,12,Rotation,1,25
3,12,Rotation,2,26
4,12,Rotation,3,27
2,12,Rotation,4,28
3,12,Rotation,5,29
3,12,Rotation,6,30
4,12,Rotation,7,31
1,12,Rotation,8,32
3,12,Rotation,9,33
1,12,Rotation,10,34
4,12,Rotation,11,35
2,12,Rotation,12,36
3,12,Rotation,13,37
2,12,Rotation,14,38
4,12,Rotation,15,39
2,12,Washout,1,40
2,12,Washout,2,41
3,12,Washout,3,42
2,12,Washout,4,43
4,12,Washout,5,44
3,12,Washout,6,45
4,12,Washout,7,46
2,12,Washout,8,47
1,12,Washout,9,48
5,12,Washout,10,49
0,12,ReRotation,1,50
2,12,ReRotation,2,51
3,12,ReRotation,3,52
3,12,ReRotation,4,53
2,12,ReRotation,5,54
3,12,ReRotation,6,55
2,12,ReRotation,7,56
3,12,ReRotation,8,57
5,12,ReRotation,9,58
0,12,ReRotation,10,59
5,12,ReRotation,11,60
4,12,ReRotation,12,61
5,12,ReRotation,13,62
3,12,ReRotation,14,63
6,12,ReRotation,15,64
0,12,ReWashout,1,65
5,12,ReWashout,2,66
3,12,ReWashout,3,67
5,12,ReWashout,4,68
4,12,ReWashout,5,69
5,12,ReWashout,6,70
6,12,ReWashout,7,71
5,12,ReWashout,8,72
5,12,ReWashout,9,73
5,12,ReWashout,10,74
5,14,Baseline,1,1
0,14,Baseline,2,2
1,14,Baseline,3,3
1,14,Baseline,4,4
1,14,Baseline,5,5
1,14,Baseline,6,6
3,14,Baseline,7,7
2,14,Baseline,8,8
2,14,Baseline,9,9
1,14,Baseline,10,10
3,14,Baseline,11,11
2,14,Baseline,12,12
4,14,Baseline,13,13
3,14,Baseline,14,14
4,14,Baseline,15,15
5,14,Baseline,16,16
2,14,Rotation,1,17
3,14,Rotation,2,18
3,14,Rotation,3,19
1,14,Rotation,4,20
5,14,Rotation,5,21
5,14,Rotation,6,22
2,14,Rotation,7,23
3,14,Rotation,8,24
2,14,Rotation,9,25
3,14,Rotation,10,26
3,14,Rotation,11,27
3,14,Rotation,12,28
4,14,Rotation,13,29
3,14,Rotation,14,30
4,14,Rotation,15,31
3,14,Washout,1,32
2,14,Washout,2,33
1,14,Washout,3,34
4,14,Washout,4,35
6,14,Washout,5,36
4,14,Washout,6,37
5,14,Washout,7,38
3,14,Washout,8,39
4,14,Washout,9,40
5,14,Washout,10,41
2,14,ReRotation,1,42
2,14,ReRotation,2,43
3,14,ReRotation,3,44
3,14,ReRotation,4,45
6,14,ReRotation,5,46
6,14,ReRotation,6,47
4,14,ReRotation,7,48
4,14,ReRotation,8,49
2,14,ReRotation,9,50
5,14,ReRotation,10,51
6,14,ReRotation,11,52
6,14,ReRotation,12,53
2,14,ReRotation,13,54
4,21,Baseline,1,1
2,21,Baseline,2,2
2,21,Baseline,3,3
5,21,Baseline,4,4
3,21,Baseline,5,5
3,21,Baseline,6,6
4,21,Baseline,7,7
3,21,Baseline,8,8
5,21,Baseline,9,9
2,21,Baseline,10,10
3,21,Baseline,11,11
3,21,Baseline,12,12
4,21,Baseline,13,13
2,21,Baseline,14,14
1,21,Baseline,15,15
4,21,Baseline,16,16
2,21,Baseline,17,17
3,21,Baseline,18,18
3,21,Baseline,19,19
4,21,Baseline,20,20
0,21,Baseline,21,21
5,21,Baseline,22,22
3,21,Baseline,23,23
2,21,Baseline,24,24
3,21,Baseline,25,25
2,21,Baseline,26,26
3,21,Baseline,27,27
4,21,Baseline,28,28
1,21,Rotation,1,29
3,21,Rotation,2,30
4,21,Rotation,3,31
5,21,Rotation,4,32
4,21,Rotation,5,33
5,21,Rotation,6,34
4,21,Rotation,7,35
4,21,Rotation,8,36
3,21,Rotation,9,37
4,21,Rotation,10,38
5,21,Rotation,11,39
6,21,Rotation,12,40
5,21,Rotation,13,41
3,21,Rotation,14,42
5,21,Rotation,15,43
3,21,Washout,1,44
4,21,Washout,2,45
5,21,Washout,3,46
5,21,Washout,4,47
4,21,Washout,5,48
5,21,Washout,6,49
5,21,Washout,7,50
6,21,Washout,8,51
6,21,Washout,9,52
6,21,Washout,10,53
2,21,ReRotation,1,54
3,3,Baseline,1,1
4,3,Baseline,2,2
3,3,Baseline,3,3
3,3,Baseline,4,4
3,3,Baseline,5,5
4,3,Baseline,6,6
1,3,Baseline,7,7
1,3,Baseline,8,8
3,3,Baseline,9,9
4,3,Baseline,10,10
3,3,Baseline,11,11
3,3,Baseline,12,12
4,3,Baseline,13,13
1,3,Baseline,14,14
4,3,Baseline,15,15
2,3,Baseline,16,16
4,3,Baseline,17,17
3,3,Baseline,18,18
5,3,Baseline,19,19
6,3,Baseline,20,20
4,3,Baseline,21,21
2,3,Baseline,22,22
6,3,Baseline,23,23
6,3,Baseline,24,24
0,3,Rotation,1,25
0,3,Rotation,2,26
3,3,Rotation,3,27
4,3,Rotation,4,28
5,3,Rotation,5,29
3,3,Rotation,6,30
4,3,Rotation,7,31
4,3,Rotation,8,32
6,3,Rotation,9,33
2,3,Rotation,10,34
1,3,Rotation,11,35
3,3,Rotation,12,36
4,3,Rotation,13,37
4,3,Rotation,14,38
1,3,Rotation,15,39
0,3,Washout,1,40
2,3,Washout,2,41
5,3,Washout,3,42
4,3,Washout,4,43
2,3,Washout,5,44
4,3,Washout,6,45
3,3,Washout,7,46
3,3,Washout,8,47
3,3,Washout,9,48
5,3,Washout,10,49
4,3,ReRotation,1,50
5,3,ReRotation,2,51
2,3,ReRotation,3,52
2,3,ReRotation,4,53
2,3,ReRotation,5,54
2,3,ReRotation,6,55
0,3,ReRotation,7,56
2,3,ReRotation,8,57
1,7,Baseline,1,1
2,7,Baseline,2,2
4,7,Baseline,3,3
2,7,Baseline,4,4
4,7,Baseline,5,5
2,7,Baseline,6,6
5,7,Baseline,7,7
4,7,Baseline,8,8
1,7,Baseline,9,9
3,7,Baseline,10,10
5,7,Baseline,11,11
